ID,Source,Title,Content,Timestamp,Ours,Voicelab,Clarin,Textclass,Ner
6,100,medyczka,Podrażniania koło zęba a usunięcie go?,"Wiem, że aby mieć pewność należy skonsultować się z Dentystą, ale... Czy może być tak, że ósemka jest do usunięcia, bo podrażnia mi się obok niej od jedzenia czegokolwiek (mam przerwę, w której gromadzi się jedzenie). Czy podrażenienie - raczej nie ma wpływu by decydować się na usunięcie ósemki. Dodam, że kilka miesięcy temu Lekarz Dentysta nie stwierdził, że NIE NALEŻY jej usuwać, więc najpewniej ząb jest zdrowy, a objaw, o którym mówię występuje już od tamtego czasu.",22-09-2020,"zdrowy
miesięcy
lekarz dentysta
ząb
podrażenienie","Dentysta
ósemka
podrażenie","ósemka
lekarz Dentysta
podrażenie zębów",zdrowie,dentysta
699,10007,medyczka,Brak możliwości ściągania zatrzymanej trójki,"Witam, posiadam mały problem jakim jest zatrzymana góra trójka. Gdy pokazałem zdjęcia rentgenowskie ortodoncie, ten stwierdził że ząb zahacza o zatoki szczękowe i ogólnie jest za szeroki aby go ściągnąć lub ew wyrwać. Polecił mi abym wykonał sobie most, czy koronę. Co o tym myślicie, czy istnieje jakaś alternatywa? A może skonsultować się z kimś innym?",15-10-2014,"zatoki szczękowe
ząb
zatrzymana góra trójka
zdjęcia rentgenowskie
most","górka trójka
ortodonty
most
most","badania rentgenowskie
ortodont
most",zagranica,
1287,10028,medyczka,"15 mi plynu w miednicy malej u dziecka 8 letniego, czy to powazne?","Moja 8 letnia corka ma 15 ml wolengo plynu w miednicy malej. Usg robione 2 razy w ciagu 2 tyg. Badanie moczu ; nablonki plaskie pojedyncze w polu widzenia, leukocyty 8-10 w polu widzenia, bakterie pojedyncze. Dodam, ze te badania zostaly zrobione miesiac po wyjsciu ze szpitala. W szpitalu 8 dni leczona biodacyna rozpoznanie zapalenie nerek. Dziecko ogolnie od kilku miesiecy zaczelo dziwnie chorowac. Najpierw czyrak w nosie, pozniej bezobiawowe zapalenie pluc miesiac pozniej nerki. I ta woda w miednicy czy to powazne, co z tym dalej robic? Do jakiego specjalisty sie kierowac.?",13-10-2014,"miednicy malej
polu widzenia
ciagu
badanie moczu
tyg","biodacyna
nablonki plaskie
wolen plyn
w","biodacyna
miesiac
nablonki plaskie
pluc
mocz",zdrowie,
1447,10036,medyczka,zawroty głowy,Witam mam problem z zawrotami głowy po położeniu ciała w płaskiej pozycji mam bardzo silne zawroty glowy czym to może być spowodowane nigdy nie posiadałem żadnych dolegliwości w internecie wyczytałem że może to być silne zatrucie pokarmowe,12-10-2014,"położeniu ciała
zawrotami głowy
płaskiej pozycji
dolegliwości
silne zawroty glowy","zawroty glowy
zatrucie pokarmowe","zawroty głowy
zatrucie pokarmowe",zdrowie,Internet
1938,10059,medyczka,"Nocne wymioty oraz zawroty głowy,  uczucie braku pełnej świadomości rzeczywistości","Proszę o przeczytanie tego. Błagam. Jestem załamana ilością badań, jakie zrobiłam. Byłam u kardiologa, endokrynologa, ginekologa, nawet psychiatry.Moje problemy zaczęły sie w trakcie matury, mam 19 lat. Tak na dobrą sprawę szczególnie nie stresowalam się maturą. Wiec wiedziałam ze cos dzieje się niedobrego i nie jest to od stresu. Miałam takie ataki 30-60Minutowej otępiałości, duszności, jak przebywałam na powietrzu, robiło mi sie lepiej, pozniej jeszcze bolało Mnie serce przez jakis czas i to otępienie przechodziło . Poszłam do rodzinnej, poprosiłam o tsh (mamama hashimoto). Zrobiłam, wyszło 3,820 jakoś tak. Kazała isc mi na usg tarczycy - wszystko ok, tylkotarczyca mała, jak 7 - latka. Pozniej w międzyczasie poszłam do kardiologa, miałam echo powiedział zemam drobne wady, ale są one tak drobne i częste ze ma je 1/4 Polaków. Niedomykalnosc zastawki mitralnej i cos z pniem płucnym. Pozniej znowu zrobiłam tsh - 4,6 .Pozniej znowu -5,6. Przed wizyta u endokrynologa zrobiłam typowe badania na hashimoto (anty-TPO, anty-TG) - przeciwciała w normie. Endokrynolog kazała zrobic ft3 ft4,Także w normie - dostałam jod. Brałam go i te dolegliwości ustały. Teraz najgorsze. Od prawie miesiąca, zdarzają mi sie pewne rzeczy. Pierwszy raz - noc 28 sierpnia, budze sie około godziny 24, zlana zimnym potem, było mi strasznie słabo, miałam zawroty głowy, wstałam zawołać mamę, czułam sie tak zle, ze poprosiłam aby wezwała pogotowie. Robiło mi sie słabo, było mi troche niedobrze. Poszliśmy do pokoju, położyłam się, nogi do góry na poduszki, okno na oścież. Byłam zdezorientowana, jakbym nie dokonca kojarzyła fakty. Położyłam sie i takLeżałam bardzo długo, starając sie nie myślec o tym jak sie czuje. Nie spałam do 3, czy 4. Najgorsze było uczucie zapadajacego sie serca. Wiem jak to brzmi, ale ja naprawde zawsze jak czuje sie w ten sposób - czuje ze umieram. Pozniej to powtórzyło sie następnej nocy. Pozniej chyba kilka nocy było normalne. Pozniej poszłam do ginekologa, ponieważ chciałam zwalczyć pryszcze, a leczenie dermatologa nic nie dawało ( brałam tetracykline chyba z pol roku do stycznia 2014). Ginekolog zbadał, powiedział ze jestem zdrowa ginekologiczne a na pryszcze i bolące piersi zadziałają hormony. (Badania - wolny testosteron w normie, prolaktyna",27-09-2014,"normie
typowe badania
endokrynologa
mamama hashimoto
zemam drobne wady","diagnostyka
diagnostyka kardiologiczna
otępienie
wady czlowieka","otępienie
otępiałość
zawał serca","ciekawostki
zagranica",Polak
1042,1008,medyczka,Wilk w owczej skórze 2 2019 Oglądaj Online Cały Film [HD],Wilk w owczej skórze 2 2019 Oglądaj i Pobierz Cały Film :Wilk w owczej skórze 2 (2019) CDA Film Lektor PL Oglądaj Online===Tags :Wilk w owczej skórze 2 onlineWilk w owczej skórze 2 cdaWilk w owczej skórze 2 gdzie obejrzećWilk w owczej skórze 2 film onlineWilk w owczej skórze 2 film pobierzWilk w owczej skórze 2 film cdaWilk w owczej skórze 2 film gdzie obejrzećWilk w owczej skórze 2 film lektor plWilk w owczej skórze 2 cały film onlineWilk w owczej skórze 2 cały film pobierzWilk w owczej skórze 2 cał film downloadWilk w owczej skórze 2 cały film zalukajWilk w owczej skórze 2 2019 onlineWilk w owczej skórze 2 2019 pobierzWilk w owczej skórze 2 2019 cdaWilk w owczej skórze 2 2019 lektor plfilm Wilk w owczej skórze 2 onlinefilm Wilk w owczej skórze 2 cdafilm Wilk w owczej skórze 2 gdzie obejrzećfilm Wilk w owczej skórze 2 zalukajfilm Wilk w owczej skórze 2 download,01-09-2019,"owczej skórze
cda film lektor pl
wilk
onlinewilk
2019 lektor plfilm wilk","Wilk w owczej skórze 2 cda
film
film online
film pobierz
","owcza cera 2
film
wideofilm
wywcza skóra 2",kultura,"Wilk w owczej skórze
CDA Film
PL Oglądaj Online"
1640,10119,medyczka,Płytki krwi a leczenie...,"Witam,Tak jak w nazwie tematu, sprawa dotyczy PLT. Od małego mój poziom płytek wynosił około 130-140 tys, lecz dopiero teraz kiedy jestem dorosły i staram się o pracę w służbach mundurowych zwróciłem a raczej zwrócono mi uwagę na ich poziom. Kiedy oddawałem honorowo krew lekarz badający mnie oznajmił mi, że jeżeli nie będę mieścił się w min. 150 tys PLT nie mogę oddawać krwi. Zacząłem sprawę nieszczęsnych płytek od lekarza rodzinnego, który orzekł iż nie mam się czym przejmować. Następnie załatwiłem skierowanie do hematologa, który powiedział to samo ale zrobił mi dodatkowe badania: PLT-125 tys, PDW-15 fL, MPV-11,9 fL, P-LCR-38,8% - Reszta morfologi w normie tylko PLT poniżej. Biochemia żelaza również w normie, śledziona nie powiększona, skaz krwotocznych brak. Konsultowałem sprawę również w poradni hematologicznej gdzie powiedziano, że nie ma problemu i gdyby płytki były liczone ""ręcznie"" to wynik był by w granicach 160-170 tys...Moje pytanie jest takie... Co mam dalej robić skoro wszyscy mi mówią, że jest w porządku pomimo tego iż moje PLT nie mieści się w widełkach. Boję się po prostu tego, że gdy będę badany przez WKL to wyniki płytek będą poniżej i dostanę niezdolność do pracy w służbach co było by wręcz śmieszne biorą pod uwagę jak błahy jest to problem. Czy muszę załatwić jakiś oświadczenie od lekarza, że nic mi nie jest czy powoływać się na liczenie ""ręczne"" PLTNa koniec dodam, że od kilku lat służę w OSP, również byłem badany przez lekarza medycyn pracy z wynikiem pozytywnym jak zaczynałem pracować w odlewni gdzie warunki są naprawdę spartańskie... Również zwrócono mi wtedy uwagę na PLT ale lekarz powiedział, że to na nic nie wpływa. Po prostu nie wiem co mam dalej zrobić, gdyż nie wyobrażam sobie życia bez mundurówki Przepraszam za rozpisanie,Pozdrawiam",02-10-2014,"plt
uwagę
pracy
normie
badany","PDW-15 fL
PLT-125tys
pltekki","diagnostyka
nieszczęsne płytki
badania
diagnostyka",zdrowie,"PLT
PLTNa
OSP"
769,10172,medyczka,"Diprogenta w maści, a czerwone plamy na piersi.","Witam,proszę o szybką pomoc, po przebudzeniu zauważywałam na lewej piersi zmany skórne a mianowicie czerwone plamy, przedtem miałam również na niej krostę(w okolicach brodawki),ale po posmarowaniu maścią-Diprogentą ona przygasła.Co mi dolega ?",26-09-2014,"lewej piersi
skórne
przebudzeniu
czerwone plamy
szybką pomoc","diprogent
brodawka
piersi
przebudzenie
zmany skórne","posmarowanie maści-Diprogenta
brodawka piersiowa
maść diprogentowa",zdrowie,
1494,10179,medyczka,Symulacja wymiotów.,"Witam. Od jakiegoś tygodnia, może dwóch mam problemy z jedzeniem. Od rana strasznie mnie mdli dlatego mało jem. Tak mnie mdli że czasami nie mogę się ruszyć z miejsca i wszystko idzie mi do gardła. W zasadzie to nie wiem o co chodzi bo jem może jeden posiłem w ciągu dnia i na dodatek lekki, o ile wogóle jem. Staram się nie jeść aby nie wymiotować. Tylko raz jak do tej poty zdarzyło mi się wymiotować. Po porannej herbacie. O co tu może chodzić? Czy to bulimia czy coś innego?",25-09-2014,"jedzeniem
problemy
gardła
rana
zasadzie","bulimia
wymiotowanie
zywienie czlowieka","wymiotowanie
zywienie czlowieka
mdliwosc
poty",zagranica,
985,10181,medyczka,"Spóźnienie tabletki o 4 godziny, grozi utratą ochrony ?","Czwartego dnia przyjmowania tabletek, spóźniłam się z spożyciem tabletki 4 godziny, czyli zamiast o 18 wzięłam o 22 tak wiem że jeśli spóźnię się z tabletka 12 godzin to ochrona dalej jest utrzymana. Lecz o godzinie 23 zaczęłam wymiotowac, tabletka potrzebuje 3 godziny żeby wchłonąc do organizmu, wiec ulotka pisała ze po wymiotowaniu powinnam wziąc tabletke z rezerwowego opakowania. Wzięłam tabletkę o godzinie 2/3 w nocy. Sex z moim partnerem uprawiałam ok godziny 20. Czy jest możliwośc ze zaszłam w ciąże ?",24-09-2014,"godziny
tabletka
rezerwowego opakowania
tabletke
sex","ciąża
tabletka
wymiotowanie","wymiotowanie
tabletka
kobieta
ciąża","ekonomia
zagranica",
