Year,Month,topicrank,voicelab,clarin,textclass,ner
2020,09,lekarz dentysta,Dentysta,lekarz Dentysta,zdrowie,dentysta
2020,02,prawym boku klatki piersiowej,czerniak na dłoni,rezonans magnetyczny,zdrowie,
2020,04,malutka narosl,pandemia,narosl na piersi,zdrowie,CBD
2020,06,białaczce kontrolującej cukier,chrupanie w stawie kolanowym,chrupanie w kolanie,zdrowie,
2020,05,oznaki zakrzepu krwii,badania laboratoryjne,pieczenie w cewce,zagranica,Pcos
2020,01,centralnej części brzucha,badanie pęcherza moczowego,badanie pęcherza moczowego,zdrowie,NFZ
2020,03,nadmiar produkcji śliny,guzek w piersi,kosmetyki,zdrowie,Viola
2020,11,zawroty głowy,choroba lokomocyjna,zaburzenia w miesieczkowaniu,ciekawostki,
2020,12,czerwone plamy,czerwone plamy na rekach,czerwone plamy na rekach,zagranica,
2020,08,mr głowy,przepuklina przepony siodła tureckiego,TK mózgu,zagranica,Internet
2020,07,fajne efekty,suplementy na suchą skórę,suplementy na suchą skórę,,
2014,10,zatrzymana góra trójka,guzek pod skórą,guzek pod skórą,zdrowie,Internet
2014,09,podstawowe rzeczy typu krew,bol w klatce piersiowej po lewej stronie,ból w klatce piersiowej,zagranica,Polak
2014,07,kolejną dawkę zwykłej wody,tabletki placebo,ból gardła,zdrowie,Dobry Wieczór
2014,08,postaci drobnego piasku,dretwienie prawa dlonia,piłka nożna,zdrowie,UK
2014,04,nowe metody leczenia łuszczycy,stopy w pozycji siadu po turecku,transient abnormal myelopoiesis,zagranica,Nowa Ruda
2014,06,silny ból palca wskazującego,a wiec boli dupa co robic,trening martwy ciąg,zdrowie,105
2014,05,popełnienie przestępstwa poświadczenia nieprawdy związanej,ból z lewej strony brzucha,ciąża,zdrowie,etyka lekarska
2014,03,zabieg wycięcia torbieli najądrza,zerwany sciegno przyczepu pachiwnego,ból,zdrowie,Heviranu
2014,02,razu leku sinupred,bol calej strony glowy,środki ochrony indywidualnej,zdrowie,Olimp - Whey Protein Complex
