,Year,Month,Keyword,Occurs
0,2017,07,lekarza,8
1,2017,11,ból,11
2,2017,01,ból,19
3,2017,02,pacjentów,21
4,2017,05,dzieci,23
5,2017,04,dzieci,18
6,2017,06,lekarza,8
7,2017,08,ból,8
8,2017,03,dzieci,27
9,2017,09,nosa,4
10,2017,10,ból,8
11,2017,12,pytanie,5
12,2016,11,dzieci,22
13,2016,10,ból,36
14,2016,08,dzieci,45
15,2016,07,dzieci,40
16,2016,02,ból,33
17,2016,04,ból,29
18,2016,01,porady pilne,26
19,2016,09,dzieci,40
20,2016,03,autorem filmu,23
21,2016,12,dzieci,23
22,2016,06,ból,28
23,2016,05,ból,33
24,2019,03,ból,5
25,2019,07,pytanie,4
26,2019,02,problemy,5
27,2019,05,czasu,5
28,2019,08,przypadkiem,6
29,2019,01,problem,8
30,2019,06,krakowie,4
31,2019,12,dzień,3
32,2019,04,lekarz,7
33,2019,09,online,8
34,2019,10,problem,6
35,2019,11,problemy,3
36,2020,09,drugie,2
37,2020,04,problem,5
38,2020,01,ból,6
39,2020,02,dziewczyny,3
40,2020,06,zmiany,2
41,2020,05,problem,5
42,2020,12,dłuższego czasu,2
43,2020,03,pies,2
44,2020,08,pracy,3
45,2020,07,pytanie,3
46,2020,11,leki,2
47,2020,10,góry,2
48,2015,06,ból,12
49,2015,02,lekarz,11
50,2015,09,ból,12
51,2015,12,ból,30
52,2015,01,ból,11
53,2015,07,pytanie,10
54,2015,04,ból,12
55,2015,08,ból,12
56,2015,05,celu usunięcia mikroczipów,10
57,2015,11,lekarz,14
58,2015,10,problemy,11
59,2015,03,czasu,10
60,2013,04,ból,6
61,2013,07,ból,12
62,2013,01,ból,9
63,2013,06,ból,14
64,2013,10,ból,7
65,2013,08,ból,14
66,2013,12,alkohol,8
67,2013,09,badania,7
68,2013,03,ból,13
69,2013,02,ból,6
70,2013,05,ból,12
71,2013,11,ból,12
72,2018,02,problem,7
73,2018,12,lekarza,4
74,2018,06,lekarz,5
75,2018,04,penisa,5
76,2018,11,normie,4
77,2018,05,lublinie,5
78,2018,08,problem,6
79,2018,09,lekarza,4
80,2018,03,problem,8
81,2018,10,lekarza,6
82,2018,01,ból,9
83,2018,07,razy,7
84,2010,10,pytanie,3
85,2010,03,pomoc,2
86,2010,04,miesiące,2
87,2010,01,problem,2
88,2010,12,leku,3
89,2010,07,problem,2
90,2010,11,niebezpieczne,2
91,2010,02,dietę opartą,1
92,2010,06,kolanie,2
93,2010,08,zmianę,3
94,2010,05,porodzie,3
95,2010,09,okres,2
96,2012,06,lekarza,9
97,2012,05,pytanie,6
98,2012,12,ból,7
99,2012,10,problem,5
100,2012,11,ból,11
101,2012,03,czasu,6
102,2012,08,problem,6
103,2012,09,lekarz,3
104,2012,02,problem,7
105,2012,01,ból,6
106,2012,04,ciąży,7
107,2012,07,ból,7
108,2014,04,problem,14
109,2014,11,ból,15
110,2014,03,ból,15
111,2014,05,ból,13
112,2014,09,lekarza,9
113,2014,06,pytanie,11
114,2014,08,pytanie,8
115,2014,07,problem,13
116,2014,01,ból,18
117,2014,12,lekarz,10
118,2014,02,ból,12
119,2014,10,ból,13
120,2011,07,problem,4
121,2011,12,lekarza,4
122,2011,10,pytanie,5
123,2011,04,wyniki,5
124,2011,08,problem,5
125,2011,01,ból,5
126,2011,11,problem,5
127,2011,02,ból,3
128,2011,05,pytanie,7
129,2011,06,lekarz,3
130,2011,09,razy,5
131,2011,03,ból,3
132,2022,08,formed,3
133,2022,04,lekarz,4
134,2022,01,reached,2
135,2022,05,lekarza,3
136,2022,03,normie,4
137,2022,06,badania,4
138,2022,12,domu,3
139,2022,07,nan,4
140,2022,02,zdjęcia,2
141,2022,11,ból,3
142,2022,10,tabletek,3
143,2022,09,typography,2
144,2021,04,wynik,2
145,2021,07,prostu,15
146,2021,05,ból,3
147,2021,01,białka,2
148,2021,06,klatce piersiowej,2
149,2021,11,wyniki,2
150,2021,12,nieprawidłowe parametry,3
151,2021,08,canva pro account,8
152,2021,03,problem,4
153,2021,10,lekarz,2
154,2021,02,problem,4
155,2021,09,pypefraphietouth,3
156,2023,02,monasteries,2
157,2023,03,pytanie,2
158,2023,04,case,1
159,2023,01,raz,2
160,2009,12,wzrostu,2
161,2009,11,poce,1
162,2009,10,ciazy,1
